uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
C11orf1:ENSG00000137720:E2.3-E4.1|ENSG00000137720:E1.1-E4.1	0.8	0.71	0.87	0.82	0.88	0.57	0.69	0.72	0.8	0.8	0.72	0.86	0.78	0.78	0.8	0.65	0.87	0.63	0.81	0.66	0.53	0.68
C11orf1:ENSG00000137720:E1.1-E4.1|ENSG00000137720:E2.3-E4.1	0.15	0.23	0.12	0.11	0.07	0.39	0.28	0.23	0.09	0.16	0.22	0.13	0.19	0.17	0.12	0.28	0.08	0.19	0.18	0.21	0.44	0.23
PARP6:ENSG00000137817:E22.3-E24.2|ENSG00000137817:E22.3-E23.1	0.4	0.39	0.35	0.25	0.14	0.61	0.54	0.46	0.28	0.33	0.57	0.41	0.5	0.54	0.15	0.42	0.16	0.1	0.21	0.43	0.53	0.37
SEC31A:ENSG00000138674:E30.3-E32.2|ENSG00000138674:E30.2-E32.2	0.47	0.44	0.4	0.4	0.43	0.55	0.62	0.4	0.4	0.49	0.45	0.47	0.37	0.49	0.31	0.38	0.35	0.27	0.41	0.5	0.54	0.46
KIF21A:ENSG00000139116:E24.1-E25.1|ENSG00000139116:E24.1-E26.1	0.75	0.73	0.75	0.89	0.91	0.38	0.34	0.62	0.95	0.87	0.86	0.83	0.5	0.71	0.81	0.72	0.92	0.87	0.81	0.68	0.71	0.69
KIF21A:ENSG00000139116:E24.1-E26.1|ENSG00000139116:E24.1-E25.1	0.14	0.16	0.11	0.06	0.05	0.44	0.49	0.17	0.02	0.07	0.08	0.1	0.29	0.16	0.11	0.16	0.04	0.07	0.1	0.2	0.17	0.19
KIF21A:ENSG00000139116:E25.1-E26.1|ENSG00000139116:E24.1-E26.1	0.76	0.73	0.83	0.88	0.91	0.41	0.34	0.76	0.95	0.86	0.85	0.8	0.6	0.72	0.78	0.72	0.91	0.87	0.82	0.66	0.71	0.68
TCF12:ENSG00000140262:E15.1-E18.1|ENSG00000140262:E17.4-E18.1	0.29	0.43	0.44	0.23	0.25	0.63	0.44	0.67	0.42	0.26	0.37	0.29	0.53	0.35	0.41	0.4	0.22	0.95	0.34	0.54	0.39	0.4
RERE:ENSG00000142599:E19.1-E25.2|ENSG00000142599:E23.1-E25.2	0.68	0.82	0.63	0.8	0.81	0.49	0.65	0.6	0.79	0.74	0.65	0.7	0.65	0.62	0.65	0.75	0.75	0.62	0.82	0.53	0.52	0.64
HSPG2:ENSG00000142798:E116.1-E117.1|ENSG00000142798:E116.1-E117.1_21824373	1.0	0	1.0	1.0	0.95	0.59	0.46	0.81	0	1.0	1.0	0	0.86	1.0	1.0	1.0	0.97	1.0	1.0	0.95	0.96	1.0
USP21:ENSG00000143258:E1.5-E2.2|ENSG00000143258:E1.5-E3.1	0.12	0.04	0.18	0.17	0.24	0.36	0.5	0.14	0.2	0.13	0.16	0.28	0.33	0.12	0.17	0.12	0.21	0.21	0.19	0.24	0.36	0.34
USP21:ENSG00000143258:E2.2-E3.1|ENSG00000143258:E1.5-E3.1	0.2	0.17	0.3	0.22	0.31	0.54	0.59	0.17	0.15	0.18	0.16	0.23	0.27	0.25	0.19	0.12	0.12	0.17	0.2	0.19	0.17	0.18
CAMKMT:ENSG00000143919:I36.1_44705537-E37.1|ENSG00000143919:E36.2-E37.1	0.0	0	0.0	0.0	0	0.33	0.35	0	0.0	0.0	0.11	0.0	0.0	0.0	0.36	0	0.0	0.45	0.38	0.3	0.46	0.0
CAMKMT:ENSG00000143919:E36.2-E37.1|ENSG00000143919:I36.1_44705537-E37.1	1.0	0	1.0	1.0	0	0.44	0.65	0	1.0	1.0	0.89	1.0	1.0	1.0	0.64	0	1.0	0.55	0.62	0.67	0.33	1.0
SLC25A48:ENSG00000145832:E9.3-E10.1|ENSG00000145832:E9.3-I9.1_135880773	0.18	0.21	0	0.19	0	0.56	0.6	0.22	0.24	0.26	0.22	0.17	0.19	0.17	0.16	0.12	0.17	0.12	0.13	0.04	0.46	0.3
TRIM41:ENSG00000146063:I7.1-E8.1|ENSG00000146063:E7.1-E8.1	0.86	0.92	0.86	0.91	0.92	0.71	0.78	0.92	0.93	0.89	0.86	0.84	0.88	0.91	0.86	0.86	0.91	0.91	0.9	0.88	0.85	0.77
TRIM41:ENSG00000146063:E7.1-E8.1|ENSG00000146063:I7.1-E8.1	0.08	0.05	0.08	0.06	0.04	0.19	0.15	0.06	0.04	0.07	0.09	0.08	0.08	0.05	0.07	0.09	0.05	0.05	0.07	0.07	0.09	0.12
TRIM41:ENSG00000146063:E7.3-I7.1|ENSG00000146063:E7.1-E8.1	0.83	0.88	0.81	0.87	0.92	0.56	0.66	0.85	0.93	0.85	0.81	0.86	0.81	0.88	0.87	0.8	0.87	0.88	0.85	0.84	0.81	0.79
SH3KBP1:ENSG00000147010:E6.1-E9.1|ENSG00000147010:E4.1-E9.1	0.04	0.11	0.0	0.02	0.0	0.06	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.04	0.04	0.03
SLC25A25:ENSG00000148339:E19.2-E22.2|ENSG00000148339:E14.1-E22.2	0.09	0.11	0.14	0.14	0.08	0.28	0.23	0.17	0.19	0.11	0.08	0.08	0.21	0.09	0.08	0.1	0.19	0.24	0.1	0.1	0.13	0.11
PAXX:ENSG00000148362:E1.7-E1.10|ENSG00000148362:E1.8_136992704-E1.12	0.38	0.55	0.39	0.33	0.37	0.68	0.66	0.36	0.21	0.21	0.26	0.44	0.45	0.3	0.28	0.27	0.21	0.26	0.44	0.49	0.44	0.33
HIRIP3:ENSG00000149929:E1.12-E1.14|ENSG00000149929:E1.12-E2.1	0.77	0.78	0.63	0.76	0.84	0.59	0.58	0.58	0.77	0.74	0.74	0.81	0.69	0.72	0.73	0.65	0.74	0.7	0.76	0.56	0.55	0.69
PLOD2:ENSG00000152952:E15.1-E17.1|ENSG00000152952:E15.1-I16.2	0.16	0.42	0.39	0.17	0.13	0.49	0.55	0.13	0.21	0.09	0.49	0.17	0.18	0.09	0.14	0.08	0.15	0.12	0.21	0.28	0.35	0.19
MSI2:ENSG00000153944:E5.1-E7.2|ENSG00000153944:E5.1-E6.1	0.98	0.78	0.97	0.98	0.96	0.88	0.87	0.96	0.97	0.99	0.94	0.95	0.96	0.96	0.85	0.96	0.89	0.91	0.95	0.87	0.99	0.92
PTPRN2:ENSG00000155093:E55.1-E56.1|ENSG00000155093:I55.1_157569061-E56.1	0.92	0.89	0.76	0.92	0.95	0.55	0.57	0.93	0.87	0.95	0.77	0.91	0.83	0.89	0.98	0.89	0.93	1.0	0.93	0.97	0.81	1.0
PTPRN2:ENSG00000155093:I55.1_157569061-E56.1|ENSG00000155093:E55.1-E56.1	0.08	0.11	0.24	0.08	0.05	0.45	0.43	0.07	0.13	0.05	0.23	0.09	0.17	0.11	0.02	0.11	0.07	0.0	0.07	0.03	0.19	0.0
ELMO1:ENSG00000155849:E24.1-E27.1|ENSG00000155849:E25.3-E27.1	0.11	0.19	0.14	0.01	0.02	0.35	0.49	0.11	0.13	0.03	0.28	0.11	0.15	0.17	0.21	0.34	0.06	0.22	0.3	0.28	0.75	0.31
ELMO1:ENSG00000155849:E25.3-E27.1|ENSG00000155849:E24.1-E27.1	0.75	0.81	0.86	0.77	0.92	0.58	0.5	0.87	0.82	0.96	0.65	0.87	0.82	0.82	0.77	0.63	0.89	0.77	0.69	0.72	0.23	0.66
ATP2B2:ENSG00000157087:E20.1-E21.1|ENSG00000157087:E19.1-E23.1	0.25	0.24	0.4	0.27	0.11	0.89	0.59	0	0.23	0.29	0.65	0.25	0.42	0.27	0.1	0.23	0.12	0.07	0.2	0.4	0.89	0.33
VAV2:ENSG00000160293:E35.1-E37.1|ENSG00000160293:E36.1-E37.1	0.68	0.68	0.7	0.32	0.52	0.9	0.87	0.67	0.65	0.51	0.67	0.49	0.4	0.59	0.31	0.47	0.28	0.27	0.42	0.6	0.8	0.67
SYNC:ENSG00000162520:E16.1-E17.24|ENSG00000162520:E16.1-I16.1	0.07	0.32	0.32	0.22	0.06	0.45	0.56	0.44	0.12	0.14	0.25	0.17	0.07	0.21	0.13	0.16	0.19	0.12	0.15	0.06	0.56	0.52
SYNC:ENSG00000162520:I16.1-E17.1|ENSG00000162520:E16.1-E17.24	0.79	0.26	0.49	0.49	0.81	0.11	0.11	0.22	0.78	0.69	0.56	0.73	0.78	0.62	0.65	0.59	0.64	0.75	0.62	0.84	0.23	0.2
SYNC:ENSG00000162520:E15.1-I15.1|ENSG00000162520:E15.1-E16.1	0.75	0.55	0.54	0.7	0.91	0.17	0.17	0.5	0.89	0.65	0.85	0.77	0.81	0.75	0.64	0.69	0.84	0.74	0.68	0.83	0.39	0.52
SYNC:ENSG00000162520:I15.1-E16.1|ENSG00000162520:E15.1-E16.1	0.68	0.55	0.65	0.65	0.88	0.19	0.14	0.5	0.9	0.72	0.83	0.66	0.72	0.72	0.58	0.66	0.68	0.77	0.65	0.78	0.3	0.42
SYNC:ENSG00000162520:E15.1-E16.1|ENSG00000162520:E15.1-I15.1	0.11	0.24	0.22	0.13	0.03	0.41	0.51	0.28	0.05	0.14	0.06	0.16	0.09	0.14	0.19	0.15	0.1	0.11	0.14	0.08	0.44	0.3
SYNC:ENSG00000162520:E16.1-I16.1|ENSG00000162520:E16.1-E17.24	0.77	0.5	0.45	0.59	0.82	0.13	0.12	0.39	0.81	0.66	0.57	0.68	0.75	0.64	0.67	0.68	0.64	0.71	0.64	0.84	0.26	0.27
CADPS:ENSG00000163618:E25.2-E31.2|ENSG00000163618:E25.2-E26.1	0.12	0.04	0.15	0.13	0.19	0.39	0.65	0.25	0.07	0.14	0.15	0.12	0.3	0.19	0.08	0.06	0.07	0.08	0.1	0.15	0.24	0.12
CAMLG:ENSG00000164615:E1.2-E2.1|ENSG00000164615:E1.2-E3.1	0.69	0.62	0.6	0.71	0.73	0.55	0.57	0.43	0.65	0.8	0.7	0.75	0.58	0.7	0.66	0.58	0.67	0.61	0.68	0.57	0.65	0.6
NDRG2:ENSG00000165795:E13.41-E15.5|ENSG00000165795:E12.8-E15.5	0.34	0.27	0.28	0.23	0.5	0.57	0.52	0.4	0.37	0.34	0.27	0.31	0.24	0.28	0.3	0.29	0.31	0.3	0.3	0.47	0.44	0.38
NDRG2:ENSG00000165795:E13.17-E13.35|ENSG00000165795:E12.8-E15.5	0.2	0.18	0.2	0.12	0.34	0.42	0.36	0.17	0.25	0.18	0.18	0.25	0.13	0.17	0.21	0.2	0.14	0.14	0.17	0.36	0.38	0.34
ARHGEF40:ENSG00000165801:E18.3-E19.2|ENSG00000165801:E18.1-E19.2	0.51	0.31	0.39	0.24	0.17	0.72	0.65	0.35	0.29	0.31	0.27	0.38	0.36	0.45	0.43	0.16	0.18	0.44	0.29	0.28	0.53	0.43
ARHGEF40:ENSG00000165801:E18.1-E18.3|ENSG00000165801:E18.1-E19.2	0.59	0.47	0.52	0.44	0.27	0.82	0.8	0.54	0.37	0.47	0.53	0.55	0.45	0.62	0.51	0.42	0.32	0.62	0.54	0.42	0.73	0.69
ZNF3:ENSG00000166526:E2.12-E3.1|ENSG00000166526:E2.12-E5.3	0.79	0.71	0.88	0.74	0.79	0.39	0.37	0.87	0.8	0.78	0.77	0.64	0.73	0.72	0.78	0.76	0.87	0.61	0.77	0.71	0.62	0.9
ZNF3:ENSG00000166526:E1.1-E3.1|ENSG00000166526:E2.12-E3.1	0.0	0.0	0.0	0.03	0.01	0.35	0.26	0.0	0.0	0.03	0.04	0.0	0.0	0.04	0.0	0.02	0.05	0.14	0.0	0.0	0.09	0.0
VPS39:ENSG00000166887:E2.1-E5.1|ENSG00000166887:E2.1-E4.1	0.97	1.0	0.98	0.97	1.0	0.53	0.51	1.0	0.97	1.0	0.98	0.98	0.93	0.98	0.92	0.97	0.97	0.76	0.88	0.93	0.99	1.0
VPS39:ENSG00000166887:E4.1-E5.1|ENSG00000166887:E2.1-E5.1	0.01	0.0	0.0	0.02	0.0	0.3	0.28	0.0	0.03	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.01	0.13	0.06	0.01	0.0	0.0
VPS39:ENSG00000166887:E2.1-E4.1|ENSG00000166887:E2.1-E5.1	0.01	0.0	0.02	0.01	0.0	0.32	0.36	0.0	0.0	0.0	0.02	0.0	0.04	0.01	0.05	0.0	0.03	0.15	0.06	0.02	0.01	0.0
MRPL58:ENSG00000167862:E2.1-E4.1|ENSG00000167862:E4.1_75019660-E5.2	0.91	0.98	0.97	0.94	0.97	0.73	0.73	0.92	1.0	0.9	1.0	0.97	0.91	0.77	0.97	0.97	0.83	1.0	0.73	0.96	0.96	0.98
MRPL58:ENSG00000167862:E4.1-E5.2|ENSG00000167862:E4.1_75019660-E5.2	1.0	0.84	1.0	1.0	1.0	0.85	0.64	1.0	1.0	1.0	1.0	1.0	1.0	0.84	1.0	1.0	1.0	1.0	0.85	1.0	1.0	0.85
PHYHIP:ENSG00000168490:E3.3-E5.1|ENSG00000168490:E4.1-E5.1	0.99	0.94	0	0.97	0.95	0.92	0.73	0.98	0.98	0.97	0.91	0.95	0.87	0.85	0.93	1.0	0.95	0.91	0.96	0.97	0.76	0.97
UGP2:ENSG00000169764:E2.8-E10.4|ENSG00000169764:E1.12-E10.4	0.08	0.12	0.09	0.06	0.03	0.12	0.13	0.18	0.14	0.08	0.06	0.08	0.06	0.13	0.08	0.07	0.14	0.09	0.12	0.08	0.42	0.11
HNRNPF:ENSG00000169813:E2.1-E5.3|ENSG00000169813:E1.1_43409131-E5.3	0.06	0.03	0.11	0.0	0.03	0.31	0.37	0.04	0.03	0.02	0.03	0.02	0.09	0.04	0.03	0.01	0.05	0.02	0.03	0.03	0.06	0.01
HNRNPF:ENSG00000169813:E1.1_43409131-E5.3|ENSG00000169813:E3.1-E5.3	0.75	0.77	0.68	0.82	0.75	0.49	0.38	0.62	0.82	0.78	0.79	0.84	0.77	0.7	0.67	0.74	0.69	0.64	0.76	0.65	0.57	0.78
MTSS1:ENSG00000170873:E29.2-E31.2|ENSG00000170873:E29.2-E30.1	0.22	0.18	0.18	0.08	0.15	0.59	0.23	0.23	0.16	0.13	0.17	0.13	0.18	0.24	0.1	0.21	0.07	0.19	0.14	0.3	0.53	0.18
FEZ2:ENSG00000171055:E10.2-E12.1|ENSG00000171055:E10.2-E13.2	0.43	0.34	0.33	0.47	0.48	0.19	0.23	0.33	0.58	0.57	0.48	0.57	0.28	0.48	0.74	0.54	0.46	0.77	0.65	0.47	0.17	0.54
FEZ2:ENSG00000171055:E10.2-E13.2|ENSG00000171055:E10.2-E12.1	0.4	0.49	0.48	0.28	0.29	0.66	0.6	0.49	0.25	0.21	0.37	0.25	0.47	0.34	0.15	0.27	0.29	0.13	0.2	0.35	0.6	0.27
FEZ2:ENSG00000171055:E12.2-E13.2|ENSG00000171055:E10.2-E13.2	0.35	0.25	0.31	0.45	0.42	0.13	0.17	0.29	0.51	0.5	0.37	0.5	0.24	0.41	0.65	0.5	0.41	0.71	0.6	0.43	0.2	0.48
GRK2:ENSG00000173020:E7.1-E8.2|ENSG00000173020:E7.1-E17.3	0.99	0.93	0.93	0.98	1.0	0.9	0.97	0.95	0.99	0.95	0.97	0.99	0.97	0.99	0.97	0.88	0.97	0.99	0.97	0.98	0.93	0.93
C12orf76:ENSG00000174456:E8.5-E11.1|ENSG00000174456:E8.5-E10.2	0.29	0.4	0.36	0.21	0.26	0.41	0.31	0.39	0.21	0.19	0.37	0.17	0.24	0.17	0.23	0.24	0.2	0.25	0.26	0.25	0.26	0.37
DCTN2:ENSG00000175203:E2.2-E5.3|ENSG00000175203:E2.2-E6.2	0.68	0.67	0.73	0.67	0.68	0.52	0.55	0.57	0.76	0.7	0.62	0.7	0.67	0.63	0.68	0.7	0.7	0.7	0.7	0.55	0.48	0.63
DCTN2:ENSG00000175203:E5.3-E6.2|ENSG00000175203:E2.2-E6.2	0.6	0.63	0.68	0.62	0.68	0.48	0.49	0.54	0.72	0.63	0.54	0.63	0.61	0.58	0.7	0.65	0.74	0.78	0.68	0.58	0.44	0.62
ATG13:ENSG00000175224:E21.4-E24.1|ENSG00000175224:E23.1-E24.1	0.26	0.23	0.47	0.2	0.17	0.69	0.61	0.34	0.22	0.23	0.36	0.24	0.39	0.28	0.09	0.22	0.13	0.04	0.15	0.22	0.59	0.29
PAAF1:ENSG00000175575:E4.5-E5.2|ENSG00000175575:E3.3-E5.2	0.83	0.82	0.71	0.81	0.73	0.41	0.38	0.72	0.79	0.8	0.81	0.88	0.7	0.72	0.8	0.66	0.74	0.72	0.86	0.59	0.46	0.68
PAAF1:ENSG00000175575:E3.3-E5.2|ENSG00000175575:E4.5-E5.2	0.11	0.12	0.19	0.09	0.13	0.49	0.49	0.17	0.12	0.08	0.13	0.08	0.09	0.17	0.11	0.08	0.07	0.16	0.06	0.24	0.37	0.13
SUGCT:ENSG00000175600:I27.1_40509545-E31.1|ENSG00000175600:E25.1-E31.1	0.0	0.0	0.0	0.0	0.0	0.31	0.16	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.07	0.0
LRTOMT:ENSG00000184154:E4.3-E6.1|ENSG00000184154:E1.10-E6.1	0.38	0.73	0.64	0.58	0.68	0.67	0.84	0.74	0.46	0.47	0.37	0.33	0.65	0.5	0.56	0.44	0.57	0.53	0.5	0.76	0.73	0.62
RPL23AP82:ENSG00000184319:E4.1-E6.1|ENSG00000184319:E4.1-E5.1	0.73	0.82	0.59	0.81	0.85	0.67	0.73	0.65	0.85	0.65	0.74	0.9	0.64	0.74	0.83	0.75	0.72	0.9	0.8	0.71	0.76	0.73
RPL23AP82:ENSG00000184319:E4.1-E5.1|ENSG00000184319:E4.1-E6.1	0.11	0.13	0.21	0.15	0.11	0.24	0.17	0.24	0.1	0.24	0.1	0.04	0.19	0.14	0.14	0.16	0.16	0.05	0.2	0.14	0.17	0.19
PLA2G6:ENSG00000184381:E19.4-E20.3|ENSG00000184381:E18.2-E20.3	0.0	0.09	0.02	0.05	0.05	0.15	0.16	0.0	0.03	0.01	0.03	0.25	0.18	0.05	0.01	0.03	0.03	0.02	0.06	0.11	0.21	0.13
PLA2G6:ENSG00000184381:E18.2-E19.1|ENSG00000184381:E18.2-E20.3	0.0	0.02	0.03	0.02	0.01	0.14	0.11	0.0	0.0	0.06	0.11	0.28	0.17	0.06	0.03	0.12	0.05	0.01	0.14	0.25	0.49	0.06
THAP7:ENSG00000184436:E1.11-E2.1|ENSG00000184436:I1.1-E2.1	0.48	0.61	0.59	0.56	0.6	0.69	0.64	0.43	0.38	0.46	0.66	0.54	0.48	0.55	0.56	0.41	0.33	0.5	0.56	0.56	0.53	0.56
ANKRD37:ENSG00000186352:I2.1-E3.1|ENSG00000186352:E2.4-E3.1	0.0	0.0	0.0	0.0	0.0	0.59	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD37:ENSG00000186352:E2.4-I2.1|ENSG00000186352:E2.4-E3.1	0.0	0.0	0.0	0.0	0.0	0.77	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLCD1:ENSG00000187091:E2.2-E3.1|ENSG00000187091:E1.2-E3.1	0.77	0.67	0.91	0.83	0.91	0.2	0.04	0.56	0.94	0.72	0.82	0.65	0.69	0.72	0.71	0.7	0.63	0.48	0.7	0.71	0.12	0.77
PLCD1:ENSG00000187091:E1.2-E3.1|ENSG00000187091:E2.2-E3.1	0.16	0.33	0.0	0.06	0.04	0.79	0.8	0.31	0.0	0.13	0.03	0.29	0.19	0.21	0.25	0.17	0.06	0.48	0.13	0.27	0.79	0.14
SLIT1:ENSG00000187122:E60.2-I61.2|ENSG00000187122:I60.1-E61.1	0.57	0.42	0.71	0.48	0.92	1.0	0.98	0.67	0.55	0.45	0.49	0.46	0.51	0.48	0.52	0.61	0.51	0.6	0.46	0.55	0.68	0.56
SLIT1:ENSG00000187122:I60.1-E61.1|ENSG00000187122:E60.2-I61.2	0.24	0.31	0.16	0.38	0.0	0.0	0.0	0.21	0.32	0.42	0.31	0.4	0.35	0.35	0.33	0.23	0.31	0.22	0.39	0.29	0.15	0.19
MAGI2:ENSG00000187391:E29.1-E30.1|ENSG00000187391:E28.1-E30.1	0.0	0.33	0.19	0.0	0.14	0.28	0.34	0.0	0.16	0.1	0.0	0.08	0.16	0.22	0.16	0.1	0.1	0.13	0.05	0.0	0.16	0.0
MAGI2:ENSG00000187391:E28.1-E30.1|ENSG00000187391:E29.1-E30.1	0.94	0.5	0.81	0.99	0.86	0.56	0.52	1.0	0.76	0.88	0.95	0.79	0.76	0.69	0.78	0.82	0.9	0.83	0.93	0.94	0.81	1.0
CFAP126:ENSG00000188931:I3.1-E4.1|ENSG00000188931:E3.1-E4.1	0.4	0.75	0.0	0.76	0.96	0.05	0.07	0.35	0.77	0.89	0.74	0.64	0.19	0.8	0.71	0.92	0.87	0.92	0.89	0.88	0.27	0.64
CFAP126:ENSG00000188931:E4.1-I4.1|ENSG00000188931:E4.1-E5.1	0.3	0.45	0.12	0.85	0.97	0.04	0.04	0.0	0.72	0.87	0.75	0.59	0.15	0.57	0.7	0.79	0.79	0.81	0.85	0.95	0.28	0.56
CFAP126:ENSG00000188931:I4.1-E5.1|ENSG00000188931:E4.1-E5.1	0.35	0.42	0.14	0.85	0.97	0.03	0.04	0.0	0.78	0.88	0.76	0.65	0.08	0.46	0.66	0.8	0.78	0.8	0.84	0.93	0.35	0.55
CFAP126:ENSG00000188931:I1.1-E2.1|ENSG00000188931:E1.1-E2.1	0.38	0.65	0.14	0.77	0.98	0.04	0.04	0.29	0.67	0.86	0.65	0.44	0.13	0.67	0.72	0.76	0.79	0.9	0.84	0.91	0.25	0.48
CFAP126:ENSG00000188931:E4.1-E5.1|ENSG00000188931:I4.1-E5.1	0.49	0.4	0.76	0.08	0.01	0.92	0.91	1.0	0.14	0.07	0.14	0.23	0.78	0.31	0.19	0.11	0.12	0.11	0.08	0.03	0.52	0.28
CFAP126:ENSG00000188931:E3.1-E4.1|ENSG00000188931:E3.1-I3.1	0.43	0.15	0.88	0.14	0.02	0.8	0.8	0.5	0.14	0.07	0.07	0.23	0.63	0.12	0.16	0.04	0.04	0.04	0.05	0.07	0.5	0.18
CFAP126:ENSG00000188931:I2.1-E3.1|ENSG00000188931:E2.1-E3.1	0.52	0.69	0.14	0.89	0.95	0.09	0.08	0.43	0.74	0.83	0.74	0.76	0.22	0.76	0.8	0.94	0.78	0.95	0.74	0.85	0.45	0.62
CFAP126:ENSG00000188931:E3.1-I3.1|ENSG00000188931:E3.1-E4.1	0.4	0.73	0.0	0.75	0.95	0.05	0.05	0.31	0.75	0.84	0.78	0.61	0.18	0.75	0.65	0.92	0.84	0.93	0.85	0.87	0.39	0.74
CFAP126:ENSG00000188931:E1.1-E2.1|ENSG00000188931:I1.1-E2.1	0.48	0.2	0.65	0.13	0.01	0.81	0.82	0.38	0.23	0.08	0.14	0.33	0.61	0.24	0.12	0.15	0.07	0.07	0.06	0.06	0.5	0.29
CFAP126:ENSG00000188931:E1.1-I1.1|ENSG00000188931:E1.1-E2.1	0.32	0.67	0.14	0.76	0.95	0.03	0.04	0.35	0.58	0.86	0.67	0.55	0.23	0.53	0.7	0.69	0.75	0.84	0.85	0.8	0.4	0.61
CFAP126:ENSG00000188931:E2.1-E3.1|ENSG00000188931:E2.1-I2.1	0.28	0.17	0.57	0.05	0.03	0.67	0.73	0.3	0.14	0.08	0.08	0.12	0.49	0.1	0.08	0.03	0.06	0.02	0.11	0.07	0.36	0.21
CFAP126:ENSG00000188931:E2.1-I2.1|ENSG00000188931:E2.1-E3.1	0.6	0.73	0.19	0.92	0.94	0.11	0.08	0.36	0.76	0.86	0.79	0.81	0.31	0.85	0.81	0.94	0.81	0.96	0.8	0.89	0.48	0.68
PCBP2:ENSG00000197111:E12.2-E14.2|ENSG00000197111:E12.2-E13.1	0.16	0.26	0.22	0.33	0.28	0.07	0.1	0.14	0.25	0.23	0.22	0.37	0.23	0.15	0.29	0.18	0.35	0.34	0.3	0.1	0.11	0.15
PCBP2:ENSG00000197111:E13.1-E14.2|ENSG00000197111:E12.2-E14.2	0.48	0.41	0.46	0.26	0.37	0.65	0.58	0.53	0.38	0.37	0.41	0.29	0.37	0.48	0.36	0.46	0.24	0.3	0.35	0.55	0.54	0.5
PCBP2:ENSG00000197111:E12.2-E13.1|ENSG00000197111:E12.2-E14.2	0.72	0.56	0.62	0.45	0.53	0.83	0.78	0.68	0.58	0.55	0.6	0.38	0.59	0.71	0.51	0.59	0.41	0.43	0.52	0.75	0.74	0.69
TBC1D9B:ENSG00000197226:E7.2-E10.2|ENSG00000197226:E7.2-E9.1	0.93	0.96	0.94	0.87	0.98	0.79	0.95	0.96	0.93	0.9	0.96	0.99	0.85	0.94	0.87	0.99	0.95	0.98	0.95	0.88	0.92	0.96
ARMCX6:ENSG00000198960:I3.1-E4.1|ENSG00000198960:E3.1-E4.1	0.44	0.48	0.45	0.53	0.56	0.24	0.37	0.48	0.47	0.44	0.43	0.56	0.36	0.41	0.59	0.45	0.54	0.59	0.4	0.39	0.5	0.32
ARMCX6:ENSG00000198960:E3.3-I3.1|ENSG00000198960:E3.1-E4.1	0.31	0.4	0.38	0.47	0.57	0.25	0.34	0.42	0.5	0.48	0.3	0.49	0.3	0.37	0.49	0.44	0.44	0.51	0.38	0.3	0.45	0.32
ARMCX6:ENSG00000198960:E3.1-E4.1|ENSG00000198960:I3.1-E4.1	0.39	0.3	0.31	0.24	0.24	0.52	0.38	0.31	0.28	0.31	0.37	0.25	0.46	0.36	0.23	0.27	0.26	0.25	0.36	0.33	0.28	0.41
COX20:ENSG00000203667:E3.2-E4.1|ENSG00000203667:E1.4-E4.1	0.71	0.54	0.62	0.65	0.69	0.56	0.45	0.49	0.67	0.76	0.62	0.68	0.61	0.56	0.53	0.58	0.71	0.56	0.64	0.42	0.4	0.5
COX20:ENSG00000203667:E1.4-E3.2|ENSG00000203667:E1.4-E4.1	0.48	0.34	0.48	0.46	0.51	0.35	0.29	0.34	0.52	0.44	0.46	0.46	0.48	0.4	0.39	0.42	0.45	0.45	0.44	0.37	0.44	0.38
COX20:ENSG00000203667:E1.4-E4.1|ENSG00000203667:E3.2-E4.1	0.16	0.31	0.21	0.17	0.16	0.29	0.35	0.29	0.2	0.09	0.2	0.16	0.21	0.19	0.27	0.19	0.12	0.22	0.22	0.26	0.32	0.27
RTL8A:ENSG00000203950:E1.3-E2.3|ENSG00000203950:I1.1-E2.1	0.32	0.56	0.35	0.31	0.33	0.69	0.45	0.25	0.27	0.23	0.34	0.18	0.38	0.36	0.26	0.25	0.34	0.24	0.26	0.28	0.26	0.23
RTL8A:ENSG00000203950:E1.3-I1.1|ENSG00000203950:E1.3-E2.3	0.49	0.24	0.4	0.49	0.55	0.18	0.33	0.53	0.56	0.62	0.42	0.61	0.42	0.45	0.5	0.48	0.5	0.56	0.49	0.46	0.49	0.53
