uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
IDI1:ENSG00000067064:E1.4-E3.1|ENSG00000067064:E2.1-E3.1	0.2	0.23	0.23	0.29	0.31	0.1	0.07	0.21	0.26	0.32	0.27	0.37	0.22	0.24	0.28	0.27	0.27	0.21	0.2	0.11	0.25	0.19
EVI5:ENSG00000067208:E14.2-E17.1|ENSG00000067208:E14.2-E15.1	0.08	0.06	0.23	0.03	0.02	0.26	0.17	0.0	0.1	0.07	0.0	0.04	0.07	0.01	0.03	0.04	0.03	0.0	0.1	0.03	0.05	0.23
FRYL:ENSG00000075539:E104.1-E106.1|ENSG00000075539:E101.2-E106.1	0.81	0.51	0.61	0.65	0.69	0.53	0.44	0.75	0.89	0.73	0.73	0.85	0.64	0.8	0.77	0.76	0.55	0.91	0.85	0.56	0.58	0.7
FRYL:ENSG00000075539:E101.2-E106.1|ENSG00000075539:E101.2-E104.1	0.12	0.3	0.24	0.22	0.21	0.31	0.39	0.14	0.06	0.15	0.15	0.08	0.23	0.11	0.12	0.13	0.31	0.05	0.08	0.28	0.28	0.17
FRYL:ENSG00000075539:E101.2-E104.1|ENSG00000075539:E101.2-E106.1	0.76	0.57	0.63	0.62	0.61	0.54	0.43	0.75	0.88	0.75	0.75	0.84	0.62	0.82	0.74	0.78	0.5	0.9	0.85	0.57	0.56	0.72
MAP2:ENSG00000078018:E21.1-E22.1|ENSG00000078018:E19.3-E22.1	0.03	0.01	0.09	0.05	0.01	0.35	0.18	0.07	0.04	0.08	0.08	0.04	0.04	0.09	0.01	0.04	0.02	0.01	0.02	0.04	0.18	0.06
MAP2:ENSG00000078018:E19.3-E22.1|ENSG00000078018:E21.1-E22.1	0.94	0.93	0.78	0.87	0.95	0.52	0.73	0.82	0.91	0.82	0.83	0.85	0.88	0.79	0.95	0.84	0.92	0.92	0.92	0.9	0.62	0.8
MAP2:ENSG00000078018:E6.3-E8.1|ENSG00000078018:E7.2-E8.1	0.86	0.72	0.93	0.86	0.87	0.73	0.87	0.78	0.88	0.88	0.82	0.89	0.89	0.82	0.84	0.79	0.85	0.9	0.92	0.92	0.8	0.87
MAP2:ENSG00000078018:E7.2-E8.1|ENSG00000078018:E6.3-E8.1	0.14	0.28	0.07	0.12	0.09	0.27	0.09	0.22	0.12	0.12	0.18	0.11	0.11	0.18	0.13	0.21	0.13	0.1	0.08	0.08	0.2	0.13
RIF1:ENSG00000080345:E31.1-E33.1|ENSG00000080345:E32.1-E33.1	0.06	0.16	0.12	0.05	0.09	0.34	0.2	0.05	0.1	0.01	0.18	0.14	0.01	0.09	0.03	0.09	0.05	0.0	0.02	0.12	0.11	0.1
DLG3:ENSG00000082458:E18.1-E20.2|ENSG00000082458:E17.1-E19.1	0.1	0.0	0.15	0.04	0.02	0.47	0.29	0.14	0.1	0.03	0.38	0.0	0.0	0.21	0.04	0.08	0.04	0.02	0.02	0.13	0.39	0.06
DLG3:ENSG00000082458:E17.1-E18.1|ENSG00000082458:E17.1-E19.1	0.39	0	0	0.14	0.1	0.91	0.71	0	0.13	0.35	0.56	0.23	0.3	0.32	0.11	0.06	0.12	0.06	0.06	0.24	0.73	0.33
DLG3:ENSG00000082458:E19.1-E21.1|ENSG00000082458:E20.2-E21.1	0.33	0.5	0.31	0.46	0.56	0.07	0.12	0.31	0.43	0.33	0.09	0.39	0.3	0.18	0.3	0.25	0.42	0.43	0.4	0.25	0.09	0.42
DLG3:ENSG00000082458:E17.1-E19.1|ENSG00000082458:E17.1-E18.1	0.46	0	0	0.63	0.79	0.05	0.13	0.27	0.67	0.47	0.22	0.38	0.5	0.37	0.8	0.63	0.69	0.91	0.84	0.56	0.07	0.53
PALM:ENSG00000099864:E1.4-E4.1|ENSG00000099864:E2.1-E4.1	0.9	0.94	0.87	0.79	0.88	0.77	0.53	0.9	0.96	0.78	0.91	0.95	0.93	0.96	0.8	0.89	0.83	0.83	0.85	0.8	0.89	0.91
MED15:ENSG00000099917:E17.2-E18.3|ENSG00000099917:E16.1-E18.3	0.21	0.21	0.34	0.21	0.28	0.51	0.45	0.4	0.35	0.24	0.34	0.29	0.23	0.28	0.27	0.35	0.33	0.21	0.32	0.37	0.54	0.53
TCF20:ENSG00000100207:E15.2-E16.1|ENSG00000100207:E14.1-E16.1	0.9	1.0	0.74	0.96	0.97	0.7	0.73	0.84	0.95	0.98	0.88	1.0	0.83	0.93	0.97	0.92	0.94	0.97	0.93	0.94	0.83	0.68
PPP4R3A:ENSG00000100796:E12.2-E13.1|ENSG00000100796:E11.1-E13.1	0.1	0.21	0.22	0.13	0.1	0.63	0.66	0.35	0.26	0.37	0.15	0.25	0.28	0.19	0.12	0.28	0.26	0.22	0.2	0.31	0.18	0.21
TPD52L2:ENSG00000101150:E3.1-E4.1|ENSG00000101150:E3.1-E5.1	0.28	0.26	0.31	0.13	0.16	0.5	0.48	0.37	0.19	0.18	0.27	0.23	0.29	0.26	0.22	0.23	0.14	0.26	0.22	0.26	0.45	0.43
ARMCX3:ENSG00000102401:E1.5-E2.2|ENSG00000102401:E1.5-E2.1	0.59	0.39	0.48	0.44	0.4	0.72	0.7	0.56	0.57	0.5	0.4	0.48	0.51	0.53	0.43	0.67	0.49	0.45	0.44	0.57	0.77	0.65
ARMCX3:ENSG00000102401:E1.5-E2.1|ENSG00000102401:E1.5-E2.2	0.32	0.54	0.38	0.48	0.45	0.15	0.19	0.29	0.31	0.34	0.48	0.34	0.3	0.35	0.42	0.23	0.35	0.43	0.44	0.32	0.17	0.2
SYT17:ENSG00000103528:E15.2-E19.1|ENSG00000103528:E15.2-E18.1	0.94	0.7	0.94	0.97	0.98	0.83	0.8	0.66	0.94	0.92	0.95	0.89	0.82	0.74	0.93	0.8	0.96	0.98	0.93	0.85	0.85	0.86
SYT17:ENSG00000103528:E15.2-E18.1|ENSG00000103528:E15.2-E19.1	0.06	0.3	0.05	0.03	0.02	0.14	0.2	0.34	0.06	0.05	0.05	0.11	0.18	0.26	0.07	0.2	0.04	0.02	0.07	0.06	0.14	0.14
PTPRS:ENSG00000105426:E2.1-E4.21|ENSG00000105426:E1.3-E4.21	0.12	0.22	0.19	0.07	0.05	0.37	0.44	0.1	0.07	0.06	0.19	0.14	0.48	0.13	0.18	0.14	0.15	0.22	0.18	0.16	0.35	0.07
PTPRS:ENSG00000105426:E1.3-E4.21|ENSG00000105426:E2.1-E4.21	0.81	0.78	0.69	0.89	0.81	0.6	0.53	0.9	0.85	0.84	0.73	0.83	0.52	0.75	0.77	0.73	0.8	0.75	0.76	0.81	0.65	0.79
AK1:ENSG00000106992:E2.1-E3.1|ENSG00000106992:E1.2-E3.1	0.03	0.03	0.01	0.0	0.0	0.52	0.44	0.03	0.0	0.0	0.03	0.02	0.04	0.02	0.01	0.0	0.01	0.01	0.02	0.01	0.18	0.01
AK1:ENSG00000106992:E1.2-E3.1|ENSG00000106992:E2.1-E3.1	0.97	0.96	0.99	0.98	0.96	0.47	0.55	0.97	1.0	1.0	0.97	0.98	0.96	0.98	0.99	1.0	0.94	0.99	0.98	0.99	0.82	0.93
