PSI	Metadata
TCGA-EB-A5VV-06A-11R-A32P-07.bed	TCGA-EB-A5VV
TCGA-D3-A2JL-06A-11R-A18S-07.bed	TCGA-D3-A2JL
TCGA-EE-A20C-06A-11R-A18S-07.bed	TCGA-EE-A20C
TCGA-WE-A8K5-06A-11R-A37K-07.bed	TCGA-WE-A8K5
TCGA-FS-A1ZN-01A-11R-A18T-07.bed	TCGA-FS-A1ZN
TCGA-YG-AA3P-06A-11R-A38C-07.bed	TCGA-YG-AA3P
TCGA-EE-A3J3-06A-11R-A20F-07.bed	TCGA-EE-A3J3
TCGA-WE-A8K1-06A-21R-A37K-07.bed	TCGA-WE-A8K1
TCGA-EE-A2MP-06A-11R-A18S-07.bed	TCGA-EE-A2MP
TCGA-EE-A2MK-06A-11R-A18S-07.bed	TCGA-EE-A2MK
TCGA-EB-A41A-01A-11R-A24X-07.bed	TCGA-EB-A41A
TCGA-FS-A1YW-06A-11R-A18T-07.bed	TCGA-FS-A1YW
TCGA-FS-A1Z7-06A-11R-A18T-07.bed	TCGA-FS-A1Z7
TCGA-D3-A2JG-06A-11R-A18T-07.bed	TCGA-D3-A2JG
TCGA-EE-A3JD-06A-11R-A20F-07.bed	TCGA-EE-A3JD
TCGA-ER-A19H-06A-12R-A18S-07.bed	TCGA-ER-A19H
TCGA-ER-A2NG-06A-11R-A18T-07.bed	TCGA-ER-A2NG
TCGA-BF-A1PZ-01A-11R-A18S-07.bed	TCGA-BF-A1PZ
TCGA-XV-AAZY-01A-12R-A40A-07.bed	TCGA-XV-AAZY
TCGA-XV-AB01-06A-12R-A40A-07.bed	TCGA-XV-AB01
TCGA-ER-A19K-01A-21R-A18T-07.bed	TCGA-ER-A19K
TCGA-FR-A7U8-06A-21R-A352-07.bed	TCGA-FR-A7U8
TCGA-GN-A265-06A-21R-A18T-07.bed	TCGA-GN-A265
TCGA-EE-A2ME-06A-11R-A18T-07.bed	TCGA-EE-A2ME
TCGA-D9-A1X3-06A-11R-A18S-07.bed	TCGA-D9-A1X3
TCGA-FS-A1ZB-06A-12R-A18S-07.bed	TCGA-FS-A1ZB
TCGA-HR-A2OH-06A-11R-A18U-07.bed	TCGA-HR-A2OH
TCGA-BF-AAP2-01A-11R-A40A-07.bed	TCGA-BF-AAP2
TCGA-ER-A197-06A-32R-A18S-07.bed	TCGA-ER-A197
TCGA-FR-A7UA-06A-32R-A352-07.bed	TCGA-FR-A7UA
TCGA-IH-A3EA-01A-11R-A20F-07.bed	TCGA-IH-A3EA
TCGA-D3-A3CC-06A-11R-A18S-07.bed	TCGA-D3-A3CC
TCGA-EE-A2M5-06A-12R-A18S-07.bed	TCGA-EE-A2M5
TCGA-3N-A9WC-06A-11R-A38C-07.bed	TCGA-3N-A9WC
TCGA-ER-A2NF-01A-11R-A18T-07.bed	TCGA-ER-A2NF
TCGA-GN-A4U8-06A-11R-A32P-07.bed	TCGA-GN-A4U8
TCGA-FR-A729-06A-11R-A352-07.bed	TCGA-FR-A729
TCGA-RP-A6K9-06A-41R-A352-07.bed	TCGA-RP-A6K9
TCGA-EB-A5SG-06A-11R-A311-07.bed	TCGA-EB-A5SG
TCGA-D3-A1Q3-06A-11R-A18T-07.bed	TCGA-D3-A1Q3
TCGA-FR-A726-01A-11R-A32P-07.bed	TCGA-FR-A726
TCGA-FW-A5DY-06A-11R-A311-07.bed	TCGA-FW-A5DY
TCGA-EE-A2GB-06A-11R-A18T-07.bed	TCGA-EE-A2GB
TCGA-EE-A183-06A-11R-A18S-07.bed	TCGA-EE-A183
TCGA-D3-A3BZ-06A-12R-A18S-07.bed	TCGA-D3-A3BZ
TCGA-EB-A85J-01A-12R-A352-07.bed	TCGA-EB-A85J
TCGA-XV-A9W5-01A-11R-A38C-07.bed	TCGA-XV-A9W5
TCGA-EE-A3JB-06A-11R-A21D-07.bed	TCGA-EE-A3JB
TCGA-D3-A5GR-06A-11R-A27Q-07.bed	TCGA-D3-A5GR
TCGA-EB-A41B-01A-11R-A24X-07.bed	TCGA-EB-A41B
TCGA-EE-A29X-06A-11R-A18T-07.bed	TCGA-EE-A29X
TCGA-RP-A694-06A-11R-A311-07.bed	TCGA-RP-A694
TCGA-GN-A8LL-06A-21R-A37K-07.bed	TCGA-GN-A8LL
TCGA-EE-A2GJ-06A-11R-A18U-07.bed	TCGA-EE-A2GJ
TCGA-EB-A44O-01A-11R-A266-07.bed	TCGA-EB-A44O
TCGA-FR-A8YE-06A-11R-A37K-07.bed	TCGA-FR-A8YE
TCGA-W3-AA21-06A-11R-A38C-07.bed	TCGA-W3-AA21
TCGA-D3-A1Q5-06A-11R-A18T-07.bed	TCGA-D3-A1Q5
TCGA-W3-AA1Q-06A-11R-A38C-07.bed	TCGA-W3-AA1Q
TCGA-EE-A29A-06A-12R-A18U-07.bed	TCGA-EE-A29A
TCGA-FR-A8YD-06A-11R-A37K-07.bed	TCGA-FR-A8YD
TCGA-D3-A2JF-06A-11R-A18S-07.bed	TCGA-D3-A2JF
TCGA-EB-A4XL-01A-11R-A27Q-07.bed	TCGA-EB-A4XL
TCGA-EB-A44N-01A-11R-A266-07.bed	TCGA-EB-A44N
TCGA-EE-A3AA-06A-11R-A18S-07.bed	TCGA-EE-A3AA
TCGA-BF-A3DM-01A-11R-A20F-07.bed	TCGA-BF-A3DM
TCGA-BF-AAP6-01A-11R-A40A-07.bed	TCGA-BF-AAP6
TCGA-D3-A3C6-06A-12R-A18U-07.bed	TCGA-D3-A3C6
TCGA-FS-A1ZG-06A-11R-A18T-07.bed	TCGA-FS-A1ZG
TCGA-EE-A2MI-06A-11R-A18U-07.bed	TCGA-EE-A2MI
TCGA-GN-A267-06A-21R-A18T-07.bed	TCGA-GN-A267
TCGA-EE-A3AH-06A-11R-A18S-07.bed	TCGA-EE-A3AH
TCGA-D3-A8GV-06A-11R-A37K-07.bed	TCGA-D3-A8GV
TCGA-D3-A8GE-06A-11R-A37K-07.bed	TCGA-D3-A8GE
TCGA-EE-A29L-06A-12R-A18S-07.bed	TCGA-EE-A29L
TCGA-D3-A51F-06A-11R-A266-07.bed	TCGA-D3-A51F
TCGA-D3-A8GB-06A-11R-A37K-07.bed	TCGA-D3-A8GB
TCGA-D3-A2JH-06A-11R-A18T-07.bed	TCGA-D3-A2JH
TCGA-EB-A430-01A-11R-A24X-07.bed	TCGA-EB-A430
TCGA-EE-A3JE-06A-11R-A20F-07.bed	TCGA-EE-A3JE
TCGA-D3-A2JB-06A-11R-A18T-07.bed	TCGA-D3-A2JB
TCGA-EB-A42Z-01A-12R-A24X-07.bed	TCGA-EB-A42Z
TCGA-FS-A1ZC-06A-11R-A18T-07.bed	TCGA-FS-A1ZC
TCGA-ER-A3EV-06A-11R-A20F-07.bed	TCGA-ER-A3EV
TCGA-EB-A3XF-01A-31R-A239-07.bed	TCGA-EB-A3XF
TCGA-D9-A4Z2-01A-11R-A24X-07.bed	TCGA-D9-A4Z2
TCGA-D3-A8GM-06A-11R-A37K-07.bed	TCGA-D3-A8GM
TCGA-ER-A3ET-06A-11R-A20F-07.bed	TCGA-ER-A3ET
TCGA-EB-A5UN-06A-11R-A311-07.bed	TCGA-EB-A5UN
TCGA-BF-A1PX-01A-12R-A18T-07.bed	TCGA-BF-A1PX
TCGA-D9-A4Z5-01A-11R-A266-07.bed	TCGA-D9-A4Z5
TCGA-EB-A5VU-01A-21R-A32P-07.bed	TCGA-EB-A5VU
TCGA-FS-A1YX-06A-11R-A18T-07.bed	TCGA-FS-A1YX
TCGA-ER-A19T-01A-11R-A18T-07.bed	TCGA-ER-A19T
TCGA-D9-A6EC-06A-11R-A311-07.bed	TCGA-D9-A6EC
TCGA-ER-A2NH-06A-11R-A18S-07.bed	TCGA-ER-A2NH
TCGA-D9-A3Z3-06A-11R-A239-07.bed	TCGA-D9-A3Z3
TCGA-EE-A2A5-06A-11R-A18T-07.bed	TCGA-EE-A2A5
TCGA-FS-A1ZK-06A-11R-A18T-07.bed	TCGA-FS-A1ZK
TCGA-FS-A1ZE-06A-11R-A18T-07.bed	TCGA-FS-A1ZE
TCGA-EE-A2MR-06A-11R-A18S-07.bed	TCGA-EE-A2MR
TCGA-WE-A8ZR-06A-11R-A37K-07.bed	TCGA-WE-A8ZR
TCGA-BF-AAP4-01A-11R-A40A-07.bed	TCGA-BF-AAP4
TCGA-EE-A3AD-06A-11R-A18S-07.bed	TCGA-EE-A3AD
TCGA-D3-A8GR-06A-11R-A37K-07.bed	TCGA-D3-A8GR
TCGA-D3-A51J-06A-11R-A266-07.bed	TCGA-D3-A51J
TCGA-GF-A6C8-06A-12R-A311-07.bed	TCGA-GF-A6C8
TCGA-EB-A6R0-01A-12R-A32P-07.bed	TCGA-EB-A6R0
TCGA-EB-A44Q-06A-11R-A266-07.bed	TCGA-EB-A44Q
TCGA-EE-A184-06A-11R-A18S-07.bed	TCGA-EE-A184
TCGA-FS-A1ZM-06A-12R-A18S-07.bed	TCGA-FS-A1ZM
TCGA-BF-A5EO-01A-12R-A27Q-07.bed	TCGA-BF-A5EO
TCGA-DA-A1I4-06A-11R-A18U-07.bed	TCGA-DA-A1I4
TCGA-EE-A2GU-06A-11R-A18T-07.bed	TCGA-EE-A2GU
TCGA-WE-A8ZM-06A-11R-A37K-07.bed	TCGA-WE-A8ZM
TCGA-GN-A4U5-01A-11R-A32P-07.bed	TCGA-GN-A4U5
TCGA-EB-A5UM-01A-11R-A311-07.bed	TCGA-EB-A5UM
TCGA-GN-A26C-01A-11R-A18T-07.bed	TCGA-GN-A26C
TCGA-D3-A1Q9-06A-11R-A18T-07.bed	TCGA-D3-A1Q9
TCGA-GN-A4U3-06A-11R-A32P-07.bed	TCGA-GN-A4U3
TCGA-DA-A1I7-06A-22R-A18S-07.bed	TCGA-DA-A1I7
TCGA-DA-A960-01A-11R-A37K-07.bed	TCGA-DA-A960
TCGA-D3-A8GK-06A-11R-A37K-07.bed	TCGA-D3-A8GK
TCGA-D3-A8GI-06A-11R-A37K-07.bed	TCGA-D3-A8GI
TCGA-3N-A9WD-06A-11R-A38C-07.bed	TCGA-3N-A9WD
TCGA-ER-A19C-06A-11R-A18S-07.bed	TCGA-ER-A19C
TCGA-EB-A550-01A-61R-A27Q-07.bed	TCGA-EB-A550
TCGA-FR-A3YN-06A-11R-A239-07.bed	TCGA-FR-A3YN
